company_name,company_id,filing_date,filing_type,category,description,transaction_id
MORE GROUP INTERNATIONAL HOLDINGS LIMITED,08341968,2026-02-17,SOAS(A),dissolution,dissolution-voluntary-strike-off-suspended,MzUwNTEwMDUzMGFkaXF6a2N4
MORE GROUP INTERNATIONAL HOLDINGS LIMITED,08341968,2026-01-20,GAZ1(A),gazette,gazette-notice-voluntary,MzQ5ODg5NjkzNGFkaXF6a2N4
MORE GROUP INTERNATIONAL HOLDINGS LIMITED,08341968,2026-01-13,DS01,dissolution,dissolution-application-strike-off-company,MzQ5ODg5NjAxMGFkaXF6a2N4
MORE GROUP INTERNATIONAL HOLDINGS LIMITED,08341968,2026-01-08,AP01,officers,appoint-person-director-company-with-name-date,MzQ5ODIyOTAzMmFkaXF6a2N4
MORE GROUP INTERNATIONAL HOLDINGS LIMITED,08341968,2026-01-06,TM01,officers,termination-director-company-with-name-termination-date,MzQ5NzgyODQ3MWFkaXF6a2N4
MORE GROUP INTERNATIONAL HOLDINGS LIMITED,08341968,2025-04-28,AA,accounts,accounts-with-accounts-type-dormant,MzQ2NDIwNzE5NGFkaXF6a2N4
MORE GROUP INTERNATIONAL HOLDINGS LIMITED,08341968,2025-02-03,PSC05,persons-with-significant-control,change-to-a-person-with-significant-control,MzQ1MzQ1MzkzNGFkaXF6a2N4
MORE GROUP INTERNATIONAL HOLDINGS LIMITED,08341968,2025-02-03,AD01,address,change-registered-office-address-company-with-date-old-address-new-address,MzQ1MzQ1MzgzNGFkaXF6a2N4
MORE GROUP INTERNATIONAL HOLDINGS LIMITED,08341968,2025-02-03,CH01,officers,change-person-director-company-with-change-date,MzQ1MzQ1MzgxOGFkaXF6a2N4
MORE GROUP INTERNATIONAL HOLDINGS LIMITED,08341968,2025-01-16,CS01,confirmation-statement,confirmation-statement-with-updates,MzQ1MTQ3MjcyNWFkaXF6a2N4
MORE GROUP INTERNATIONAL HOLDINGS LIMITED,08341968,2024-01-25,CS01,confirmation-statement,confirmation-statement-with-updates,MzQwODg5NDYzNGFkaXF6a2N4
