filing_id,date,type,description,category,transaction_id
MzUwNTEwMDUzMGFkaXF6a2N4,2026-02-17,SOAS(A),dissolution-voluntary-strike-off-suspended,dissolution,MzUwNTEwMDUzMGFkaXF6a2N4
MzQ5ODg5NjkzNGFkaXF6a2N4,2026-01-20,GAZ1(A),gazette-notice-voluntary,gazette,MzQ5ODg5NjkzNGFkaXF6a2N4
MzQ5ODg5NjAxMGFkaXF6a2N4,2026-01-13,DS01,dissolution-application-strike-off-company,dissolution,MzQ5ODg5NjAxMGFkaXF6a2N4
MzQ5ODIyOTAzMmFkaXF6a2N4,2026-01-08,AP01,appoint-person-director-company-with-name-date,officers,MzQ5ODIyOTAzMmFkaXF6a2N4
MzQ5NzgyODQ3MWFkaXF6a2N4,2026-01-06,TM01,termination-director-company-with-name-termination-date,officers,MzQ5NzgyODQ3MWFkaXF6a2N4
MzQ2NDIwNzE5NGFkaXF6a2N4,2025-04-28,AA,accounts-with-accounts-type-dormant,accounts,MzQ2NDIwNzE5NGFkaXF6a2N4
MzQ1MzQ1MzkzNGFkaXF6a2N4,2025-02-03,PSC05,change-to-a-person-with-significant-control,persons-with-significant-control,MzQ1MzQ1MzkzNGFkaXF6a2N4
MzQ1MzQ1MzgzNGFkaXF6a2N4,2025-02-03,AD01,change-registered-office-address-company-with-date-old-address-new-address,address,MzQ1MzQ1MzgzNGFkaXF6a2N4
MzQ1MzQ1MzgxOGFkaXF6a2N4,2025-02-03,CH01,change-person-director-company-with-change-date,officers,MzQ1MzQ1MzgxOGFkaXF6a2N4
MzQ1MTQ3MjcyNWFkaXF6a2N4,2025-01-16,CS01,confirmation-statement-with-updates,confirmation-statement,MzQ1MTQ3MjcyNWFkaXF6a2N4
MzQwODg5NDYzNGFkaXF6a2N4,2024-01-25,CS01,confirmation-statement-with-updates,confirmation-statement,MzQwODg5NDYzNGFkaXF6a2N4
MzQwNjQyMjgyMGFkaXF6a2N4,2024-01-03,AA,accounts-with-accounts-type-dormant,accounts,MzQwNjQyMjgyMGFkaXF6a2N4
MzM5MTg5MTgxNWFkaXF6a2N4,2023-09-05,AA,accounts-with-accounts-type-dormant,accounts,MzM5MTg5MTgxNWFkaXF6a2N4
MzM2NjQ0ODQ0MmFkaXF6a2N4,2023-01-19,CS01,confirmation-statement-with-updates,confirmation-statement,MzM2NjQ0ODQ0MmFkaXF6a2N4
MzM0ODM1NjA3N2FkaXF6a2N4,2022-08-10,AA,accounts-with-accounts-type-dormant,accounts,MzM0ODM1NjA3N2FkaXF6a2N4
MzMyNzA1OTAwOGFkaXF6a2N4,2022-01-19,CS01,confirmation-statement-with-updates,confirmation-statement,MzMyNzA1OTAwOGFkaXF6a2N4
MzMxNDQwMDY5NmFkaXF6a2N4,2021-09-21,AA,accounts-with-accounts-type-dormant,accounts,MzMxNDQwMDY5NmFkaXF6a2N4
MzI4ODkzMjgyNmFkaXF6a2N4,2021-01-19,CS01,confirmation-statement-with-updates,confirmation-statement,MzI4ODkzMjgyNmFkaXF6a2N4
MzI3OTA0MjMzM2FkaXF6a2N4,2020-09-29,AA,accounts-with-accounts-type-dormant,accounts,MzI3OTA0MjMzM2FkaXF6a2N4
